id	text	creation_time	user_loc
855473920975159296	Pot is legal as long as we do not phone a friend. :nerd_face: https://t.co/ri5x9lfX37	Fri Apr 21 17:30:51 +0000 2017	Canada
855471156337532928	@HeatherWellsCBC Tellem legalize weed #421TheDayAfter	Fri Apr 21 17:19:52 +0000 2017	Winnipeg, Manitoba
855455242749489152	The proposed Pot laws do look more like industrialization than legalization. #cdnpoli https://t.co/DVbB8RdrSj	Fri Apr 21 16:16:38 +0000 2017	Canada
855442163521298433	Health, legal implications of weed still murky this 4/20 https://t.co/ybA2up6SK6 #Cannabis #pharma #teenhealth #cultureofhealth	Fri Apr 21 15:24:39 +0000 2017	Vancouver, BC, Canada
855411839357857792	ICYMI here's my #420 statement on Cannabis Legalization reform complete with Board of Health comments and ?s S/O @JoeyColeman for CC videos https://t.co/SEi0jtEfYO	Fri Apr 21 13:24:09 +0000 2017	Hamilton, Ontario
855398566868774912	Kellie, right choice for PM but marijuana legal to eliminate criminal convictions&amp; alternative to pharma.Never used but know what is right. https://t.co/o0D61lCEwh	Fri Apr 21 12:31:25 +0000 2017	Kitchener, Ontario
855392875584122880	Reporters: Jon Muma on pot legalization, Pulfer on champselysees, Stall on Trump NAFTA https://t.co/9e5Y8nJVX2	Fri Apr 21 12:08:48 +0000 2017	Calgary, AB
855346313113849857	As Ottawa Steams Toward Legalization, Pot Advocates Smoke Up In Bannerman https://t.co/SpSeFMcaMG https://t.co/QPtZdQJ4CC	Fri Apr 21 09:03:47 +0000 2017	Calgary, AB
855293621746126849	Turds polishing other turds using #alternativefacts What reality does @LindseyGrahamSC live in? Did South Carolina legalize pot or something https://t.co/77mBS23uhw	Fri Apr 21 05:34:24 +0000 2017	Regina, SK
855280934177746944	Weed is basically legal now so I don't know what they're protesting anymore. I guess it's just an excuse for surrey to cross that 3rd zone	Fri Apr 21 04:43:59 +0000 2017	Vancouver via Richmond
855247865865809920	I'm extremely pro legalization. But I always found this 4/20 bs to be exactly that; bullshit that hurts the cause https://t.co/oao7aiKyyN	Fri Apr 21 02:32:35 +0000 2017	Toronto, Ontario, Canada
